MANTER/TIRAR;Familia;Codigo;Descricao (PT);Categoria;Headtop?;Motorizado(PAPR);Ar Mandado(SAR);Atividades;Certificacao;Pagina;Imagem;OBS / ITENS FALTANDO
;ELIPSE-FULL;FFM2200;Respirador Full Face (sem filtros) M/G (EU);;;;;;CA 51.643;;assets/produtos/el-FFM2200-No-Filters.png;
;ELIPSE-FULL;FFM221G;Respirador Full Face A1P3 M/G (EU) - VO;;;;;;CA 51.643;;assets/produtos/el-FFM221G-A1P3.png;
;ELIPSE-FULL;FFM221J;Respirador Full Face ABE1P3 M/G (EU) - VO + GA;;;;;;CA 51.643;;assets/produtos/el-FFM221J-ABE1P3.png;
;ELIPSE-FULL;FFM221L;Respirador Full Face A2P3 M/G (EU) - VO;;;;;;CA 51.643;;assets/produtos/el-FFM223L-A2P3.png;
;ELIPSE-FULL;FFM223K;Respirador Full Face ABEK1P3 M/G (EU) - Multigás;;;;;;CA 51.643;;assets/produtos/el-FFM223K-ABEK1P3.png;
;ELIPSE-FULL;FFM2243;Respirador Full Face P3 M/G (EU);;;;;;CA 51.643;;assets/produtos/el-FFM2243-P3.png;
;ELIPSE-FULL;FFM2244;Respirador Full Face P3 Anti-Odor M/G (EU);;;;;;CA 51.643;;assets/produtos/el-FFM2244-P3-Nuisance-Odour.png;
;ELIPSE-FULL;FIL253K;Filtros ABEK1P3 Elipse Reposição (PAR) - Multigás;;;;;;;;assets/produtos/el-FIL253K-REV3-ABEK1P3-Replacement-Filters.png;
;ELIPSE-FULL;FIL253L;Filtros A2P3 Elipse Reposição (PAR) - Vapores Orgânicos;;;;;;;;assets/produtos/el-FIL253L-REV3-A2P3-Replacement-Filters.png;
;ELIPSE-FULL;SPM1001;Estojo para Respirador Full Face;;;;;;;;assets/produtos/el-SPM1001-Full-Face-Mask-Case.png;
;ELIPSE-FULL;SPM1002;Adaptador para Fit Test;;;;;;;;assets/produtos/el-SPM1002-FFM-Fit-Test-Adaptor.png;
;ELIPSE-FULL;SPM1003;Película para Visor Full Face - 1 Pç;;;;;;;;assets/produtos/el-SPM1003-4-5-FFM-visor-peel-off.png;
;ELIPSE-FULL;SPM1004;Película para Visor Full Face - 4 Pç;;;;;;;;assets/produtos/el-SPM1003-4-5-FFM-visor-peel-off.png;
;ELIPSE-FULL;SPM1005;Película para Visor Full Face - 7 Pç;;;;;;;;assets/produtos/el-SPM1003-4-5-FFM-visor-peel-off.png;
;ELIPSE-FULL;SPM1007;Elastico;;;;;;;;assets/produtos/el-SPM1007-FFM-head-harness.png;
;ELIPSE-FULL;SPM1008;Kit de Pino de fivela do elástico;;;;;;;;assets/produtos/el-SPM1008-FFM-respirator-body-ML.png;
;ELIPSE-FULL;SPM1010;Fivela para elástico;;;;;;;;assets/produtos/el-SPM1010-FFM-head-harness-buckle.png;
;ELIPSE-FULL;SPM1011;Trava da Máscara interna;;;;;;;;assets/produtos/el-SPM1011-FFM-locking-ring.png;
;ELIPSE-FULL;SPM1012;Máscara Interna;;;;;;;;assets/produtos/el-SPM1012-FFM-inner-mask-body.png;
;ELIPSE-FULL;SPM1013;Kit de tampa da válvula de escape;;;;;;;;assets/produtos/el-SPM1013-FFM-exhaust-valve-cover.png;
;ELIPSE-FULL;SPM1014;Corpo da válvula de inalação + kit de diafragma;;;;;;;;assets/produtos/el-SPM1014-FFM-inhalation-valve-with-diaphagm.png;
;ELIPSE-FULL;SPM1015;Kit de cobertura de filtro;;;;;;;;assets/produtos/el-SPM1015-FFM-filter-cover.png;
;ELIPSE-FULL;SPM1016;Kit de bolsa de algodão;;;;;;;;assets/produtos/el-SPM1016-Cotton-Bag-Kit.png;
;ELIPSE-FULL;SPM1017;Kit de Tampas Protetoras para Filtros de Gases e Poeira;;;;;;;;assets/produtos/el-SPM1017-Protective-Caps-Kit.png;
;ELIPSE-FULL;SPM1018;KIT DE INSERÇÃO DE PRESCRIÇÃO FFM;;;;;;;;assets/produtos/el-SPM1018-FFM-adjustable-rx-insert.png;
;ELIPSE-FULL;SPR316;Filtros P3 Elipse Reposição (PAR);;;;;;;;;
;ELIPSE-FULL;SPR336;Filtros P3 Elipse Reposição Odorfree (PAR);;;;;;;;;
;ELIPSE-FULL;SPR341;Par de filtro Elipse A1-P3 Reposição - Vapores Orgânicos + Combinado;;;;;;;;assets/produtos/el-SPR341-A1P3-Filters.png;
;ELIPSE-FULL;SPR582;Filtros ABE1P3 Elipse Reposição (PAR) - Vapores Orgânicos + Gases Ácidos;;;;;;;;;
;ELIPSE-INTEG;SPM007;Estojo para Respirador Integra;;;;;;;;assets/produtos/el-SPM007.png;
;ELIPSE-INTEG;SPM520;Pacote com 10 Películas Peel Off Integra;;;;;;;;assets/produtos/el-SPM520-Peel-Off-Visor-for-Integra-v2.png;
;ELIPSE-INTEG;SPR003;Kit de peças de reposição (Apoio de Cabeça + Elástico);;;;;;;;;
;ELIPSE-INTEG;SPR004;Kit de Peças de Reposição (Suporte com Grade);;;;;;;;;
;ELIPSE-INTEG;SPR005;Kit de Peças de Reposição (Válvula Frontal);;;;;;;;;
;ELIPSE-INTEG;SPR006;Kit de Peças de Reposição (Membrana da Válvula);;;;;;;;;
;ELIPSE-INTEG;SPR009;Kit de Peças de Reposição (Trava Giratória);;;;;;;;;
;ELIPSE-INTEG;SPR316;Filtros P3 Elipse Reposição (PAR);;;;;;;;;
;ELIPSE-INTEG;SPR336;Filtros P3 Elipse Reposição Odorfree (PAR);;;;;;;;;
;ELIPSE-INTEG;SPR404 | SPR405;Respirador Integra P3 (Antiodor);;;;;;CA 45.229;;assets/produtos/el-SPR404-405-406-407-P3-Integra-Mask.png;
;ELIPSE-INTEG;SPR407 | SPR406;Respirador Integra P3;;;;;;CA 45.229;;assets/produtos/el-SPR404-405-406-407-P3-Integra-Mask.png;
;ELIPSE-PART;SPM001;Estojo para Respirador P3;;;;;;;;assets/produtos/el-SPM001.png;
;ELIPSE-PART;SPM420;Kit Pré-Filtro para A1-P3 (Grade de Proteção + Pré-Filtro);;;;;;;;assets/produtos/el-SPM420-Prefilters-Kit.png;
;ELIPSE-PART;SPM421;Pré-filtro para A1-P3;;;;;;;;assets/produtos/el-SPM421-prefilter-pads-2.png;
;ELIPSE-PART;SPR003;Kit de peças de reposição (Apoio de Cabeça + Elástico);;;;;;;;;
;ELIPSE-PART;SPR004;Kit de Peças de Reposição (Suporte com Grade);;;;;;;;;
;ELIPSE-PART;SPR005;Kit de Peças de Reposição (Válvula Frontal);;;;;;;;;
;ELIPSE-PART;SPR006;Kit de Peças de Reposição (Membrana da Válvula);;;;;;;;;
;ELIPSE-PART;SPR009;Kit de Peças de Reposição (Trava Giratória);;;;;;;;;
;ELIPSE-PART;SPR299 | SPR501;Respirador P3;;;;;;CA 29.416;;assets/produtos/el-SPR299-SPR501-P3-Mask.png;
;ELIPSE-PART;SPR316;Filtros P3 Elipse Reposição (PAR);;;;;;;;;
;ELIPSE-PART;SPR336;Filtros P3 Elipse Reposição Odorfree (PAR);;;;;;;;;
