MANTER/TIRAR;Familia;Codigo;Descricao (PT);Categoria;Headtop?;Motorizado(PAPR);Ar Mandado(SAR);Atividades;Certificacao;Pagina;Imagem;OBS / ITENS FALTANDO
;RADEX;04-900;"Filtro de Linha de Ar Radex 2 Saídas; inclui carcaça do filtro, base/suporte de parede e 2x acopladores universais.";Radex Package;;;SIM;filtracao_ar;567;;assets/produtos/04-900.jpg;
;RADEX;04-906;"Filtro de Linha de Ar Radex 6 Saídas; inclui carcaça do filtro, base/suporte de parede e regulador de pressão de alto fluxo e manômetro.";Radex Package;;;SIM;filtracao_ar;567;;assets/produtos/04-906.jpg;
;RADEX;04-911;Acoplador 1/4 Polegada Rosca Fêmea 3/8 Polegada;Radex Part;;;;;567;;assets/produtos/04-911.jpg;
;RADEX;04-912;Tê de Latão 3/8 Polegada;Radex Part;;;;;567;;assets/produtos/04-912.jpg;
;RADEX;04-913;Niple de Latão;Radex Part;;;;;567;;assets/produtos/04-913.jpg;
;RADEX;04-914;Manômetro;Radex Part;;;;;567;;assets/produtos/04-914.jpg;
;RADEX;04-915;Regulador de Pressão;Radex Part;;;;;567;;assets/produtos/04-915-Radex-Pressure-Gauge.jpg;
;RADEX;04-916;Válvula de Alívio de Pressão;Radex Part;;;;;567;;assets/produtos/04-916.jpg;
;RADEX;04-917;Niple de Latão 3/8 Polegada;Radex Part;;;;;567;;assets/produtos/04-917-2.jpg;
;RADEX;04-918;Torneira de Dreno;Radex Part;;;;;567;;assets/produtos/04-918.jpg;
;RADEX;04-919;Anel de Vedação (O-ring);Radex Part;;;;;567;;assets/produtos/04-919.jpg;
;RADEX;04-920;Carcaça do Filtro;Radex Part;;;;;567;;assets/produtos/04-920-2.jpg;
;RADEX;04-922;Cartucho de Filtro;Radex Part;;;;;567;;assets/produtos/04-922.jpg;
;RADEX;04-923;Base/Suporte de Parede;Radex Part;;;;;567;;assets/produtos/04-923.jpg;
;RADEX;04-924;Acoplador Universal;Radex Part;;;;;567;;assets/produtos/04-924.jpg;
;RADEX;04-925;Acoplador Tipo Garra;Radex Part;;;;;567;;assets/produtos/04-925.jpg;
;RADEX;04-926;Válvula de Dreno Automático;Radex Part;;;;;567;;assets/produtos/04-926-2.jpg;
;RADEX;04-927;Pré-filtro de Linha Principal;Radex Part;;;;;567;;assets/produtos/04-927-2.jpg;
;RADEX;04-928;Cotovelo de Latão;Radex Part;;;;;567;;assets/produtos/04-928.jpg;
;RADEX;04-929;Elemento Filtrante - para 04-927.;Radex Part;;;;;567;;assets/produtos/04-929.jpg;
;RADEX;AFC100;Pacote de Filtro de Linha de Ar Radex;Radex Part;;;;;567;;assets/produtos/AFC100.jpg;
;RADEX;APF3100;Pacote de Filtro de Linha de Ar Radex;Radex Part;;;;;567;;assets/produtos/APF3100.jpg;
;;;;;;;;;;;;
ADICIONAR ABAIXO ↓ (codigo, descricao, etc):;;;;;;;;;;;;
