MANTER/TIRAR;Familia;Codigo;Descricao (PT);Categoria;Headtop?;Motorizado(PAPR);Ar Mandado(SAR);Atividades;Certificacao;Pagina;Imagem;OBS / ITENS FALTANDO
;PX5;03-801-EUUK;"Kit Inicial PX5 PAPR Easy Clean; inclui bateria recarregável e base de carga, cinto de fácil limpeza, testador de fluxo, 1x filtro HEPA (P3), 1x pré-filtros (pct 10).";Assembly/Kit;;;;pintura saude farmaceutica quimica;"EN12941; IP65";p.9;assets/produtos/03-801-EUUK.jpg;
;PX5;03-801-FR-EUUK;"Kit Inicial PX5 PAPR Industrial; inclui bateria recarregável e base de carga, cinto FR, testador de fluxo, 1x filtro HEPA (P3), 1x para-faíscas, 1x pré-filtros (pct 10).";Assembly/Kit;;;;solda fundicao fabricao mineracao construcao agro industria  quimica;"EN12941; IP65";p.9;assets/produtos/03-801-FR-EUUK.jpg;
;PX5;03-802-FR-EUUK;"Kit Inicial PX5 PAPR para Filtros de Gás; inclui bateria recarregável e base de carga, cinto FR, porta do filtro de gás, testador de fluxo, 1x para-faíscas, 1x pré-filtros (pct 10). Filtro de gás vendido separadamente.";Assembly/Kit;;;;solda fundicao fabricao mineracao construcao agro industria  quimica;"EN12941; IP65";p.9;assets/produtos/03-802-PX5.jpg;
;PX5;03-803-FR-EUUK;"Kit Inicial PX5 PAPR Industrial com Conjunto Mochila; inclui bateria recarregável e base de carga, cinto FR com conjunto mochila, testador de fluxo, 1x filtro HEPA (P3), 1x para-faíscas, 1x pré-filtros (pct 10).";Assembly/Kit;;;;solda fundicao fabricao mineracao construcao agro industria  quimica;"EN12941; IP65";p.9;assets/produtos/03-801-PX5.jpg;
;PX5;03-804-FR-EUUK;"Kit Inicial PX5 PAPR para Filtros de Gás com Conjunto Mochila; inclui bateria recarregável e base de carga, cinto FR com conjunto mochila, porta do filtro de gás, testador de fluxo, 1x para-faíscas, 1x pré-filtros (pct 10). Filtro de gás vendido separadamente.";Assembly/Kit;;;;solda fundicao fabricao mineracao construcao agro industria  quimica;"EN12941; IP65";p.9;assets/produtos/03-801-PX5.jpg;
;PX5;03-810;Carcaça do Ventilador;Part;;;;;32;;assets/produtos/03-810.jpg;
;PX5;03-811;Suporte de Fixação do Cinto;Part;;;;;32;;assets/produtos/03-811-PX5-Belt-Support-Bracket.jpg;
;PX5;03-812;Tampa da Porta;Part;;;;;32;;assets/produtos/03-812-Door-Cover.jpg;
;PX5;03-813;Porta do Filtro HEPA (P3);Part;;;;;32;;assets/produtos/03-813-HEPA-Filter-Door.jpg;
;PX5;03-814;Porta do Filtro de Gás;Part;;;;;32;;assets/produtos/03-814-Gas-Cartridge-Filter-Door.jpg;
;PX5;03-815;Conjunto da Porta da Bateria - inclui 03-818.;Part;;;;;32;;assets/produtos/03-815-PX5-Battery-Door-Assembly.jpg;
;PX5;03-817;Vedação da Porta da Bateria;Part;;;;;32;;assets/produtos/03-817-PX5-Battery-Door-Seal.jpg;
;PX5;03-818;Dobradiça da Porta;Part;;;;;32;;assets/produtos/03-818-PX5-Battery-Door-Hinge.jpg;
;PX5;03-819;Medidor de Fluxo;Part;;;;;32;;assets/produtos/03-819-PX5-Flow-Meter.jpg;
;PX5;03-822-DC;Conjunto Mochila - descontaminação/fácil limpeza.;Accessory;;;;;32;;assets/produtos/03-822-DC.jpg;
;PX5;03-822-FR;Conjunto Mochila - FR.;Accessory;;;;;32;;assets/produtos/03-822-FR.jpg;
;PX5;03-841;Capa Multigás PAPR Tychem 4000;Accessory;;;;;32;;assets/produtos/03-841.png;
;PX5;03-842;Capa Multigás PAPR Zytec FR;Accessory;;;;;32;;assets/produtos/03-842.jpg;
